logFC logCPM PValue FDR
VIT_17s0000g04130 -2.50003981405795 2.90482390571744 4.91131279929507e-07 7.48280232951498e-05
VIT_07s0129g00910 -2.9030692571219 0.733173566844141 4.92029629570947e-07 7.48280232951498e-05
VIT_09s0002g00960 -2.28844729864734 5.11996177609934 4.92256490876403e-07 7.48280232951498e-05
VIT_05s0020g03880 -4.33976635245999 5.71851416607347 5.06168986135451e-07 7.57279738502523e-05
VIT_03s0063g00210 -3.98729473694455 4.08759300664212 5.13708827250631e-07 7.63756598914876e-05
VIT_14s0006g01250 -1.64780700851758 3.02528119557949 5.67719093566379e-07 8.25653320194303e-05
VIT_18s0001g13200 -5.57412432052157 6.59345778631011 5.69224585975558e-07 8.25653320194303e-05
VIT_05s0020g03770 -3.05349151142595 3.47053337985682 5.8321349539886e-07 8.40817129002914e-05
VIT_05s0020g01970 -1.81871843927336 3.63902810494918 6.02950499556595e-07 8.53189669020021e-05
VIT_02s0012g00450 -3.17281659416124 3.40729139041798 6.11040615568238e-07 8.53189669020021e-05
VIT_07s0129g00320 -3.75138544291509 1.18822278794269 6.1161887285584e-07 8.53189669020021e-05
VIT_02s0154g00500 -2.48870220069202 2.72948453368545 6.15831681129278e-07 8.53189669020021e-05
VIT_07s0031g02550 -4.47606333460697 4.63114044600697 6.2239798883878e-07 8.53189669020021e-05
VIT_12s0028g01350 -3.83021489729852 3.62474887912425 6.24075174077197e-07 8.53189669020021e-05
VIT_17s0000g05610 -3.08223486591202 1.98616403947664 6.33736914740774e-07 8.61447641591631e-05
VIT_11s0016g05830 -3.87113279532697 6.29491766318776 6.40111001009523e-07 8.65168209773553e-05
VIT_12s0035g00910 -2.27306783903003 3.92521435792151 6.61778295326346e-07 8.89400118035204e-05
VIT_02s0154g00240 -1.89888646393524 4.50386333901447 6.7334434636026e-07 8.93341892712732e-05
VIT_07s0031g01680 -10.0316931276334 3.70923716764539 6.75977554600184e-07 8.93341892712732e-05
VIT_08s0007g03630 -4.71002667440195 4.50713771586322 6.89528910943515e-07 9.0621622837151e-05
VIT_05s0020g04690 -9.05775398869804 3.52396550522005 7.08733983049069e-07 9.26338680701717e-05
VIT_10s0003g01560 -4.59300315251747 3.4615829154147 7.26267502031431e-07 9.38937572734982e-05
VIT_14s0030g00250 -3.10132224610764 5.26953017192837 7.38571799789345e-07 9.49683566129132e-05
VIT_07s0031g00250 -3.39799728435332 3.95386012721207 7.64160566877522e-07 9.77303847574328e-05
VIT_11s0016g03640 -5.56083652542942 5.65191216535206 7.69873182242951e-07 9.79344559315258e-05
VIT_06s0004g06560 -5.187172327732 1.62220043183227 7.87758495917306e-07 9.86273636888467e-05
VIT_18s0001g15720 -3.55828623112628 3.88261583207371 7.96084325997074e-07 9.89559581154139e-05
VIT_11s0016g02430 -1.71924630222499 5.87083280938686 7.98702873640469e-07 9.89559581154139e-05
VIT_00s0375g00030 -6.43598534463728 4.31847585029906 8.18829469458455e-07 0.000100923914090558
VIT_14s0006g00450 -5.57701714540767 0.365036858835976 8.29453638812368e-07 0.000101706408041591
VIT_03s0091g01010 -10.5224194611713 4.27625492702053 8.44178333262524e-07 0.000102981098418712
VIT_18s0001g12770 -2.33313190067058 5.50742080074421 9.15935395256133e-07 0.000109488799911321
VIT_02s0025g01380 -1.91206036800607 7.64577042769468 9.28015765858935e-07 0.000109939489675576
VIT_00s0229g00100 -1.61968176698064 5.48860438713796 9.31019450615687e-07 0.000109939489675576
VIT_17s0000g02470 -6.42238664539854 7.35477407911214 9.33570578210291e-07 0.000109939489675576
VIT_13s0019g01200 -3.52959593685258 2.30881395264553 9.41868309051737e-07 0.00011037026273755
VIT_02s0025g01850 -4.44184692001402 1.20561460260671 9.54923927538734e-07 0.000111351619550448
VIT_13s0064g01320 -1.86121373529867 3.08716693967603 9.66781710476271e-07 0.000112106867071012
VIT_14s0060g01570 -3.03897378533269 1.74814300487129 9.70826240820097e-07 0.000112106867071012
VIT_18s0001g12620 -3.7174355209735 0.909544444223917 1.00346025571387e-06 0.00011531551962764
VIT_15s0046g02000 -8.59768577294381 6.14651073718574 1.01537965114447e-06 0.000115568665748443
